app_user_id,week_start,avg_daily_steps
1,2025-10-20,18871.666666666668
1,2025-10-27,14505.142857142857
1,2025-11-03,18730.0
1,2025-11-10,14629.714285714286
1,2025-11-17,3212.0
2,2025-10-20,22325.0
2,2025-10-27,14420.0
2,2025-11-03,16969.428571428572
2,2025-11-10,21463.428571428572
2,2025-11-17,4201.0
3,2025-10-20,20710.5
3,2025-10-27,14570.142857142857
3,2025-11-03,8075.428571428572
3,2025-11-10,14739.714285714286
3,2025-11-17,10639.0
4,2025-10-20,17382.5
4,2025-10-27,13387.42857142857
4,2025-11-03,22373.571428571428
4,2025-11-10,20499.285714285714
4,2025-11-17,15191.0
5,2025-10-20,16235.0
5,2025-10-27,20240.0
5,2025-11-03,15977.714285714286
5,2025-11-10,20606.571428571428
5,2025-11-17,7039.0
6,2025-10-20,21666.666666666668
6,2025-10-27,15463.57142857143
6,2025-11-03,18075.714285714286
6,2025-11-10,18854.14285714286
6,2025-11-17,4131.0
7,2025-10-20,11566.166666666666
7,2025-10-27,14127.285714285714
7,2025-11-03,13915.57142857143
7,2025-11-10,19095.714285714286
7,2025-11-17,14057.0
8,2025-10-20,18351.5
8,2025-10-27,18942.714285714286
8,2025-11-03,12418.57142857143
8,2025-11-10,15964.142857142857
8,2025-11-17,23357.0
9,2025-10-20,23255.333333333332
9,2025-10-27,12469.714285714286
9,2025-11-03,13828.57142857143
9,2025-11-10,17267.285714285714
9,2025-11-17,6574.0
10,2025-10-20,9504.166666666666
10,2025-10-27,15202.0
10,2025-11-03,17980.85714285714
10,2025-11-10,17691.571428571428
10,2025-11-17,6653.0
11,2025-10-20,16767.0
11,2025-10-27,14693.142857142857
11,2025-11-03,22061.14285714286
11,2025-11-10,15859.57142857143
11,2025-11-17,13632.0
12,2025-10-20,20983.5
12,2025-10-27,19724.14285714286
12,2025-11-03,16068.142857142857
12,2025-11-10,15824.0
12,2025-11-17,26939.0
13,2025-10-20,15204.666666666666
13,2025-10-27,16487.0
